,title,release_date,genre,run_time,certification,user_score,original_language,movie_budget,movie_revenue,keywords,actors,director_list
0,Asterix and Cleopatra,12/19/1968 ,"['Family', 'Animation', 'Adventure', 'Comedy']",1h 12m,6,70,French,,,"['cairo', 'magic', 'palace', 'cleopatra', 'galier', 'julius caesar']","['Roger Carel', 'Jacques Morel', 'Micheline Dax', 'Pierre Tornade', 'Henri Labussière', 'Jacques Balutin', 'Serge Sauvion', 'Pierre Trabaud']","['René Goscinny', 'Albert Uderzo']"
0,Go,04/09/1999 ,"['Crime', 'Comedy', 'Thriller']",1h 38m,R,70,English,6500000,28451622,"['ecstasy', 'drug dealing', 'las vegas', 'drugs', 'high', 'bisexual man', 'multiple storylines']","['Sarah Polley', 'Katie Holmes', 'Jay Mohr', 'Timothy Olyphant', 'William Fichtner', 'Scott Wolf', 'Robert Peters', 'Suzanne Krull']",['Doug Liman']
0,Pokémon Detective Pikachu,05/10/2019 ,"['Action', 'Adventure', 'Fantasy']",1h 45m,PG,70,English,150000000,431605346,"['detective', 'amnesia', 'pokémon', 'based on video game', 'missing person', 'missing parent', 'buddy comedy', 'pikachu', 'neo-noir', 'missing man', 'cinematic universe', 'pikachu character']","['Ryan Reynolds', 'Justice Smith', 'Kathryn Newton', 'Bill Nighy', 'Ken Watanabe', 'Chris Geere', 'Suki Waterhouse', 'Josette Simon']",['Rob Letterman']
0,T2 Trainspotting,03/31/2017 ,"['Crime', 'Drama']",1h 57m,R,70,English,18000000,42067430,"['prison', 'scotland', 'based on novel or book', 'bar', 'fight', 'drug addiction', 'blackmail', 'cocaine', 'nightclub', 'junkie', 'heroin', 'edinburgh, scotland', 'friendship', 'addiction', 'sequel', 'revenge', 'prison escape', 'extortion', 'theft', 'violence', 'apartment', 'bar fight', 'council estate', 'eastern european']","['Ewan McGregor', 'Jonny Lee Miller', 'Ewen Bremner', 'Robert Carlyle', 'Anjela Nedyalkova', 'Kelly Macdonald', 'Shirley Henderson', 'Irvine Welsh']",['Danny Boyle']
0,Crazy Heart,12/16/2009 ,"['Drama', 'Music', 'Romance']",1h 52m,R,70,English,7000000,47405566,"['taxi', 'country music', 'journalist', 'guitar', 'bar', 'musician', 'alcoholism', 'singer', 'memory', 'texan', 'alcoholic', 'drink', 'guilt', 'biscuit']","['Jeff Bridges', 'Maggie Gyllenhaal', 'Colin Farrell', 'Robert Duvall', 'Paul Herman', 'Tom Bower', 'Brian Gleason', 'J. Michael Oliva']",['Scott Cooper']
0,Cool Runnings,09/30/1993 ,"['Comedy', 'History']",1h 38m,PG,70,English,14000000,154856263,"['winter', 'trainer', 'olympic games', 'jamaica', 'training camp', 'reggae', 'bobsleighing', 'sports']","['Leon', 'Doug E. Doug', 'Rawle D. Lewis', 'Malik Yoba', 'John Candy', 'Raymond J. Barry', 'Peter Outerbridge', 'Paul Coeur']",['Jon Turteltaub']
0,Swiss Army Man,07/01/2016 ,"['Comedy', 'Drama', 'Romance', 'Fantasy', 'Adventure']",1h 37m,R,70,English,3000000,4210454,"['beach', 'friends', 'survival', 'dead body', 'corpse', 'deserted island']","['Paul Dano', 'Daniel Radcliffe', 'Mary Elizabeth Winstead', 'Timothy Eulich', 'Shane Carruth', 'Richard Gross', 'Marika Casteel', 'Antonia Ribero']","['Daniel Scheinert', 'Daniel Kwan']"
0,Star Wars: The Last Jedi,12/15/2017 ,"['Science Fiction', 'Action', 'Adventure']",2h 32m,PG-13,70,English,200000000,1332539889,"['bunker', 'space battle', 'failure', 'defeat', 'sequel', 'good vs evil', 'imax', 'space opera', 'stormtrooper', 'military operation']","['Mark Hamill', 'Carrie Fisher', 'Adam Driver', 'Daisy Ridley', 'John Boyega', 'Oscar Isaac', 'Andy Serkis', ""Lupita Nyong'o""]",['Rian Johnson']
0,True Lies,07/15/1994 ,"['Action', 'Thriller']",2h 21m,R,70,English,115000000,378882411,"['spy', 'terrorist', 'florida', 'gun', 'kidnapping', 'horseback riding', 'florida keys', 'secret agent', 'terrorist plot', 'top secret', 'truth serum', 'mushroom cloud', 'jackhammer', 'special agent', 'key west']","['Arnold Schwarzenegger', 'Jamie Lee Curtis', 'Tom Arnold', 'Bill Paxton', 'Tia Carrere', 'Art Malik', 'Eliza Dushku', 'Grant Heslov']",['James Cameron']
0,Sexy Beast,01/12/2001 ,"['Crime', 'Drama', 'Thriller']",1h 29m,R,70,English,5000000,,"['spain', 'gangster', 'psychopath', 'murder', 'heist', 'money', 'violence', 'criminal', 'retired', 'hunting', 'safecracker', 'brutal', 'leisure', 'neo-noir']","['Ray Winstone', 'Ben Kingsley', 'Ian McShane', 'Amanda Redman', 'Cavan Kendall', 'Julianne White', 'Álvaro Monje', 'James Fox']",['Jonathan Glazer']
